internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9122_116V3V4,M45.g1.JM,122328,111680,53237,3040,50197,182,50152,170
zr9122_117V3V4,N01.g1.JM,132230,122546,57591,4125,53466,306,53236,260
zr9122_118V3V4,N02.g1.JM,89380,80046,37482,1025,36457,164,36279,153
zr9122_119V3V4,N03.g1.JM,117566,106464,51490,1678,49812,237,49643,219
zr9122_120V3V4,N04.g1.JM,109876,100178,47785,1011,46774,195,46755,193
zr9122_121V3V4,N05.g1.JM,103274,93670,43389,2489,40900,324,40821,312
zr9122_122V3V4,N07.g1.JM,122984,113096,54240,8195,46045,133,45777,94
zr9122_123V3V4,N08.g1.JM,114656,101386,48039,2846,45193,129,44988,101
zr9122_124V3V4,N09.g1.JM,115048,105828,51123,1258,49865,190,49182,125
zr9122_125V3V4,N10.g1.JM,108026,99156,46678,1627,45051,393,44910,368
zr9122_126V3V4,N29.g1.JM,43480,36630,18111,506,17605,8,17605,8
zr9122_127V3V4,N30.g1.JM,114926,106542,53130,515,52615,19,52066,17
zr9122_128V3V4,N31.g1.JM,108922,101350,50231,1616,48615,47,48310,40
zr9122_129V3V4,N32.g1.JM,119388,111636,54734,3415,51319,54,51152,42
zr9122_130V3V4,M33.g1.SNW,124662,111028,49705,1891,47814,567,47623,536
zr9122_131V3V4,M38.g1.SNW,92706,85426,42422,746,41676,11,41666,7
zr9122_132V3V4,M40.g1.SNW,103344,93936,43444,5863,37581,269,37032,199
zr9122_133V3V4,M44.g1.SNW,114310,103762,46871,2250,44621,576,44396,534
zr9122_134V3V4,M50.g1.SNW,92482,83898,40941,907,40034,93,39779,89
zr9122_135V3V4,M73.g1.SNW,118294,106420,51454,10429,41025,128,40862,112
zr9122_136V3V4,M74.g1.SNW,114190,105876,51664,1764,49900,215,49380,184
zr9122_137V3V4,M75.g1.SNW,115132,103476,50223,10622,39601,64,39324,47
zr9122_138V3V4,M79.g1.SNW,109648,100822,50074,55,50019,43,49536,34
zr9122_139V3V4,M81.g1.SNW,106086,96816,46998,10192,36806,35,36577,23
zr9122_140V3V4,M82.g1.SNW,105650,96126,47014,10374,36640,30,36403,17
zr9122_141V3V4,M85.g1.SNW,104604,94542,43970,7723,36247,162,35967,126
zr9122_142V3V4,M89.g1.SNW,94580,84964,39700,3781,35919,172,35726,144
zr9122_143V3V4,M94.g1.SNW,126448,115128,54945,498,54447,327,54191,312
zr9122_144V3V4,M53.g1.SNW,117548,105766,51466,3298,48168,68,48008,59
zr9122_145V3V4,M41.g1.SNW,96474,83416,33686,1518,32168,394,31887,349
zr9122_146V3V4,M39.g1.SNW,109226,98638,45086,5860,39226,333,38571,233
zr9122_147V3V4,M42.g1.SNW,113818,101732,47734,2870,44864,231,44412,173
zr9122_148V3V4,M47.g1.SNW,118314,109802,51065,3631,47434,271,47353,251
zr9122_149V3V4,M69.g1.SNW,114104,103542,49057,5888,43169,120,42980,96
zr9122_150V3V4,M70.g1.SNW,95032,84260,41021,8801,32220,32,32173,21
zr9122_151V3V4,M71.g1.SNW,110810,101240,49230,2385,46845,164,46520,142
zr9122_152V3V4,M72.g1.SNW,119126,106792,49989,8380,41609,168,41291,124
zr9122_153V3V4,M77.g1.SNW,131906,120620,57737,2690,55047,296,54830,270
